sentence,label
"Мы учимся языкам, а все наши друзья бизнесу.","Мы учимся языкам, а все наши друзья учатся бизнесу."
"Они могут бегать быстрее, чем я.","Они могут бегать быстрее, чем я."
"Я не знаю что, но что-то Марина увидела.","Я не знаю что, но что-то Марина увидела."
"Володя сказал, что купит зеленую лампу.","Володя сказал, что купит зеленую лампу."
"Отец не ест зелёный лук, только красный.","Отец не ест зелёный лук, только красный."
"Мы поедем в парк на машине, а они на велосипеде.","Мы поедем в парк на машине, а они поедут в парк на велосипеде."
"Как он убит, чем и как?","Как он убит, чем он убит и как он убит?"
"Дети с кем-то дрались, но мне не важно с кем.","Дети с кем-то дрались, но мне не важно, с кем дрались дети."
"Лидия переедет в Тверь, а её сестра в Новосибирьск.","Лидия переедет в Тверь, а её сестра переедет в Новосибирьск."
"Я ненавижу Марка, и тебя тоже.","Я ненавижу Марка, и тебя тоже ненавижу."
"Я в первый раз там попробовал сало, а ты зразы.","Я в первый раз там попробовал сало, а ты попробовал зразы."
"Я всем буду помагать, даже Пете буду.","Я всем буду помагать, даже Пете буду помагать."
"Kирилл не позвал Любу в кино, и Bася тоже _.","Кирилл не позвал Любу в кино, и Вася тоже не позвал."
"Там знали, что Крымов невиновен, a посадили.","Там знали, что Крымов невиновен, а посадили его."
"Я читал историю про эльфов, а ты про гномов.","Я читал историю про эльфов, а ты читал историю про гномов."
Черт ее знает из чего.,"Черт ее знает, из чего она это сделала."
"У него день рождения в июне, и у неё тоже.","У него день рождения в июне, и у неё тоже в июне."
"Моя девушка хочет в кино всегда, а я никогда.","Моя девушка хочет в кино всегда, а я никогда не хочу."
"Фёдор часто знакомится с новыми людьми, а Лена редко.","Фёдор часто знакомится с новыми людьми, а Лена редко знакомится с новыми людьми."
"Дина купила своей дочери школьные учебники, а Паша не купил.","Дина купила своей дочери школьные учебники, а Паша не купил учебники."
"Я предпочитаю есть зразы с говядиной, а ты с свининой.","Я предпочитаю есть зразы с говядиной, а ты предпочитаешь есть зразы с свининой."
"Лишь бы он вернул мою книгу сегодня, мне всё равно во сколько.","Лишь бы он вернул мою книгу сегодня, мне всё равно во сколько он вернет."
"Она знает больше о своей стране, чем он.","Она знает больше о своей стране, чем он."
"Она меня не любит, и я её.","Она меня не любит, и я её не люблю."
"Мне вчера что-нибудь снилось, но не помню, что.","Мне вчера что-нибудь снилось, но не помню, что снилось."
"Убил Смердяков, но как?","Убил Смердяков, но как убил?"
Тогда какое?!,Тогда какое?!
"Они попросили меня пойти на озеро, но у меня нет времени.","Они попросили меня пойти на озеро, но у меня нет времени."
"Он видел, что в душе ее совершалось что-то прекрасное, но что?","Он видел, что в душе ее совершалось что-то прекрасное, но что совершалось?"
"Павель играет на скрипке, Валерий на виолинчели и Петр на рояле.","Павель играет на скрипке, Валерий играет на виолинчели и Петр играет на рояле."
"Моя мать хочет новый компьютер, но ещё не знает, какого бренда.","Моя мать хочет новый компьютер, но ещё не знает, какого бренда."
"Я страдаю, ты страдаешь. За что?","Я страдаю, ты страдаешь. За что я страдаю? За что ты страдаешь?"
"В прошлом году мы выращивали только картошку, но в этом году и картошку и огурцы.","В прошлом году мы выращивали только картошку, но в этом году выращиваем и картошку, и огурцы."
"Они сейчас говорят на украинском языке, а не на русском.","Они сейчас говорят на украинском языке, а не на русском."
"Я всегда нерничаю, а мой отец никогда.","Я всегда нервничаю, а мой отец никогда не нервничает."
"Кити не только уверила его, что она его любит, но даже, отвечая на его вопрос, за что она любит его, объяснила ему, за что.","Кити не только уверила его, что она его любит, но даже, отвечая на его вопрос, за что она любит его, объяснила ему, за что она его любит."
"Иван пишет литературу, а Коля музыку.","Иван пишет литературу, а Коля пишет музыку."
"Она попросила Мишу остаться, и Вася тоже.","Она попросила Мишу остаться, и Вася тоже остался."
"Максиму нравится чай, а Вере кофе.","Максиму нравится чай, а Вере нравится кофе."
"В зоопарке я люблю смотреть слонов, и мои сёстры тоже.","В зоопарке я люблю смотреть слонов, и мои сёстры тоже любят смотреть слонов."
"Верю, да не знаю во что.","Верю, да не знаю, во что верю."
"Я сделал один бутерброд утром, и потом ещё один вечером.","Я сделал один бутерброд утром, и потом сделал ещё один вечером."
"Он починил мою машину, но я не понимаю как.","Он починил мою машину, но я не понимаю, как он это сделал."
От кого же?,От кого же?
Я должен Мише позвонить или ты _?,Я должен Мише позвонить или ты должен Мише позвонить?
"Петя не может получать $3000, а его заместитель $4000.","Петя не может получать $3000, а его заместитель может получать $4000."
"Иван улыбается, и Миша знает почему.","Иван улыбается, и Миша знает почему."
"Нет, не для этого.","Нет, не для этого."
"Я говорю по-русски, но не очень хорошо.","Я говорю по-русски, но не очень хорошо."
"У него день рождения в июне, а у неё в октябре.","У него день рождения в июне, а у неё в октябре."
"Довольно, не хочу!","Довольно, не хочу!"
"Я не готовлю так хорошо, как ты.","Я не готовлю так хорошо, как ты."
"Максиму нравится шоколад, а Вере конфеты.","Максиму нравится шоколад, а Вере нравятся конфеты."
"Они сейчас говорят по-украински, а не по-русски.","Они сейчас говорят по-украински, а не по-русски."
"Вы не можете ответить, или просто не хотите?","Вы не можете ответить, или вы просто не хотите?"
"Плюньте и уйдите, вот почему.","Плюньте и уйдите, вот почему."
"Ольга уехала из своей страны в молодом возрасте, и Катя тоже.","Ольга уехала из своей страны в молодом возрасте, и Катя тоже уехала из своей страны в молодом возрасте."
"Он всегда заказывает холодное блюдо, а она горячее.","Он всегда заказывает холодное блюдо, а она заказывает горячее."
"Я хотел более красивую шапку, _ не __ такую __.","Я хотел более красивую шапку, а не такую ужасную."
"Я подготовлю материалы на понедельник, а ты на вторник.","Я подготовлю материалы на понедельник, а ты подготовишь материалы на вторник."
"Я не хотел, но вчера мы ходили в кино.","Я не хотел, но вчера мы ходили в кино."
Почему?,Почему?
"Андрей считает, что никто не будет делать это домашнее задание, но я буду.","Андрей считает, что никто не будет делать это домашнее задание, но я буду делать это домашнее задание."
"Саша прочитал мою статью, а Дима прочитал твою.","Саша прочитал мою статью, а Дима прочитал твою."
"И Ольгу встретили в магазине, и Kатю _.","И Ольгу встретили в магазине, и Катю встретили."
"Котята забавляются маленькими игрушками, а щенята большими.","Котята забавляются маленькими игрушками, а щенята забавляются большими игрушками."
"Я собираюсь купить машину, а ты продать.","Я собираюсь купить машину, а ты собираешься продать машину."
"Все ненавидят наш дом, но любят их.","Все ненавидят наш дом, но любят их дом."
"Они купили надувной замок, но не ясно кому.","Они купили надувной замок, но не ясно, кому они купили надувной замок."
"Когда Петя пришел, я обрадовался, а Вася нет _.","Когда Петя пришел, я обрадовался, а Вася нет."
"Он вдруг сообразил, что ведь он хотел сейчас идти в дом Федора Павловича, узнать, не произошло ли чего.","Он вдруг сообразил, что ведь он хотел сейчас идти в дом Федора Павловича, узнать, не произошло ли чего."
"Я уверен, что он ненавидит _.","Я уверен, что он ненавидит это."
"Я больше пью виски, чем он водку.","Я больше пью виски, чем он пьет водку."
"Она встала и ушла, а её парень не знал, почему.","Она встала и ушла, а её парень не знал, почему она ушла."
"Она умерла в 1975, а её муж годом позже, в 1976.","Она умерла в 1975, а её муж умер годом позже, в 1976."
"Он сомневается, что когда-нибудь выиграет в лотерею, но всё таки надеется.","Он сомневается, что когда-нибудь выиграет в лотерею, но всё таки надеется выиграть."
"Они пришли ко мне не в среду, а в четверг.","Они пришли ко мне не в среду, а в четверг."
"В Украине сейчас борются с врагами, а в Америке друг с другом.","В Украине сейчас борются с врагами, а в Америке борются друг с другом."
"Петя в Москву приехал, а Вася в Петербург нет _.","Петя в Москву приехал, а Вася в Петербург не приехал."
"Офицеры носят фуражку, а пехотинцы простые пилотки.","Офицеры носят фуражку, а пехотинцы носят простые пилотки."
"Петя хочет начать изучать французский язык, а Вася немецкий.","Петя хочет начать изучать французский язык, а Вася хочет начать изучать немецкий."
"Так ли, для этого ли?","Так ли, для этого ли?"
"Каждый день утром он ест хлопья, но вечером стейк.","Каждый день утром он ест хлопья, но вечером он ест стейк."
"Сегодня пойдём в бар, но мне ещё не сказали когда.","Сегодня пойдём в бар, но мне ещё не сказали, когда пойдём в бар."
"Я не умею готовить так хорошо, как ты.","Я не умею готовить так хорошо, как ты."
"Митя пил чай, а Надя кофе.","Митя пил чай, а Надя пила кофе."
"Юрий живёт в Ярославле, а Дима в Москве.","Юрий живёт в Ярославле, а Дима живёт в Москве."
"Он хорошо понимает математику, и биологию.","Он хорошо понимает математику, и хорошо понимает биологию."
"Мой брат думает, что лучше охотиться с луком, чем с винтовкой.","Мой брат думает, что лучше охотиться с луком, чем с винтовкой."
"Дмитрия же не застанет еще вернее, и ему предчувствовалось почему.","Дмитрия же не застанет еще вернее, и ему предчувствовалось почему."
"Мы очень хотим путешествовать по Украине, но сейчас не можем.","Мы очень хотим путешествовать по Украине, но сейчас не можем."
"Каждый год он разбивает стакан, и его мать тоже.","Каждый год он разбивает стакан, и его мать тоже разбивает стакан."
"Они смеются, но непонятно над кем.","Они смеются, но непонятно, над кем они смеются."
"Она убила его, но чем, не знаем.","Она убила его, но чем, не знаем."
"Каждый день утром он ест хлопья, а также вечером.","Каждый день утром он ест хлопья, а также вечером ест хлопья."
"Вчера я не познакомил Машу с Сашей, но думаю, что завтра познакомлю.","Вчера я не познакомил Машу с Сашей, но думаю, что завтра познакомлю."
"Я бросил кружку, а сестра тарелку.","Я бросил кружку, а сестра бросила тарелку."
"Он вдруг бросился и больно укусил мне палец, не знаю за что.","Он вдруг бросился и больно укусил мне палец, не знаю за что."
"Маша кому-то что-то подарила, но я не помню кому что.","Маша кому-то что-то подарила, но я не помню, кому она что подарила."
"Кто-то съел все печенья, но я не знаю, кто.","Кто-то съел все печенья, но я не знаю, кто съел."
Когда?,Когда?
"В понедельник мы читали первую часть романа, и во вторник вторую.","В понедельник мы читали первую часть романа, и во вторник мы читали вторую."
"Он сказал, что Катя будет читать эту лекцию, а на самом дело Cережа будет.","Он сказал, что Катя будет читать эту лекцию, а на самом дело Сережа будет читать эту лекцию."
"Каждый год я перечитываю ""Влаcтелина колец"", а моя подруга ""Хоббита"".","Каждый год я перечитываю ""Властелина колец"", а моя подруга перечитывает ""Хоббита""."
"Я не умею танцевать танго, но хочу.","Я не умею танцевать танго, но хочу научиться."
"Я видел машину, которую купил Петя, а Вася нет _.","Я видел машину, которую купил Петя, а Вася нет."
"Преследовать и звать его он не захотел, он знал почему.","Преследовать и звать его он не захотел, он знал почему."
"Граница Финландии с Россией длинная, с Норвегией короткая, а со Швецией - средняя.","Граница Финландии с Россией длинная, с Норвегией короткая, а со Швецией - средняя."
"Я не умею танцевать, а мой брат плавать.","Я не умею танцевать, а мой брат умеет плавать."
"Я думал, что никто не знает эту песню, а на самом деле Маша спела _.","Я думал, что никто не знает эту песню, а на самом деле Маша спела её."
"Моя мама в зоопарке всегда любит смотреть выдр, а мой папа пингвинов.","Моя мама в зоопарке всегда любит смотреть выдр, а мой папа любит смотреть пингвинов."
"Я ездила туда не только в те дни, когда танцевала.","Я ездила туда не только в те дни, когда танцевала."
"В пиццу всегда добавляю лук, а подруга перец.","В пиццу всегда добавляю лук, а подруга добавляет перец."
"Мы купили ту книгу по математике после того, как он купил эту.","Мы купили ту книгу по математике после того, как он купил эту книгу по математике."
"Да, я распоряжусь, — решила она и, возвращаясь к прежним мыслям, вспомнила, что что-то важное, душевное было не додумано еще, и она стала вспоминать что.","Да, я распоряжусь, — решила она и, возвращаясь к прежним мыслям, вспомнила, что что-то важное, душевное было не додумано еще, и она стала вспоминать что это."
"Я не могу видеть без очков, а моя подруга может.","Я не могу видеть без очков, а моя подруга может видеть без очков."
"Петя увидел белого зайца после того, как Вася увидел черного.","Петя увидел белого зайца после того, как Вася увидел черного зайца."
"Я не ем столько, как он.","Я не ем столько, сколько ест он."
"Я не знаю, для чего.","Я не знаю, для чего."
Конечно познакомил _.,Конечно познакомил его.
"Моя подруга всегда принимает душ вечером, а я утром.","Моя подруга всегда принимает душ вечером, а я принимаю душ утром."
"Завтра я принесу лёд, а ты пиво.","Завтра я принесу лёд, а ты принесёшь пиво."
"Ваня сказала, что Вика тебя позвала гулять, а я думал, что меня _.","Ваня сказала, что Вика тебя позвала гулять, а я думал, что меня позвала."
"Петя хочет начать изучать французский язык, а Вася пытается немецкий.","Петя хочет начать изучать французский язык, а Вася пытается изучать немецкий."
"Его убили, но не знаю почему.","Его убили, но не знаю, почему его убили."
"Мы пришли сюда, потому что мы хотели.","Мы пришли сюда, потому что мы хотели."
"Он придумал музыку песни, а она текст.","Он придумал музыку песни, а она придумала текст."
"Митя где-то будет праздновать день рождения, но не знаю где.","Митя где-то будет праздновать день рождения, но я не знаю, где."
"Лучше потратить целый день, чем целую неделю.","Лучше потратить целый день, чем целую неделю."
"Мои друзья поедут туда на самолёте, а я на машине.","Мои друзья поедут туда на самолёте, а я поеду туда на машине."
"Моя мать работает не только днём, но и также вечером.","Моя мать работает не только днём, но и также вечером."
"Подруга всегда реккомедует мне новую музыку, но я ещё слушаю старую.","Подруга всегда рекомендует мне новую музыку, но я ещё слушаю старую."
"Я задал ему три вопроса, и тоже тебе.","Я задал ему три вопроса, и тоже задал тебе."
"Он говорит с иностранным акцентом, но мы не знаем почему.","Он говорит с иностранным акцентом, но мы не знаем почему."
А они нападают на Анну. За что?,А они нападают на Анну. За что они нападают на Анну?
"Я сначала приправлю суп паприкой, а потом чёрным перцем.","Я сначала приправлю суп паприкой, а потом приправлю суп чёрным перцем."
