sentence,label
"Он сомневается, что когда-нибудь выиграет в лотерею, но всё таки надеется.","Он сомневается, что когда-нибудь выиграет в лотерею, но всё таки надеется выиграть в лотерею."
"Мне вчера что-нибудь снилось, но не помню, что.","Мне вчера что-нибудь снилось, но я не помню, что снилось."
Как?,Как что?
"Я уверен, что он ненавидит _.","Я уверен, что он ненавидит это."
"Я сначала приправлю суп паприкой, а потом чёрным перцем.","Я сначала приправлю суп паприкой, а потом приправлю суп чёрным перцем."
"Митя предложил Кате пойти в кино, а Катя Мите в музей.","Митя предложил Кате пойти в кино, а Катя предложила Мите пойти в музей."
"Бизнесмен получил два ранения, а его водитель три ранения.","Бизнесмен получил два ранения, а его водитель получил три ранения."
"Я хотел чай из Китая, а не из Индии.","Я хотел чай из Китая, а не из Индии."
"Каждый год я перечитываю ""Влаcтелина колец"", а моя подруга ""Хоббита"".","Каждый год я перечитываю ""Властелина колец"", а моя подруга перечитывает ""Хоббита""."
"Что-то купили на рынке, но ещё не объяснили что.","Что-то купили на рынке, но ещё не объяснили, что купили на рынке."
От кого же?,От кого же это письмо?
"Георгий готовит макароны, а Лена песто.","Георгий готовит макароны, а Лена готовит песто."
"Я ненавижу Марка, и тебя тоже.","Я ненавижу Марка, и я ненавижу тебя тоже."
"Он придумал музыку песни, а она текст.","Он придумал музыку песни, а она придумала текст песни."
"Я задал ему три вопроса, и ты тоже.","Я задал ему три вопроса, и ты тоже задал ему три вопроса."
"Вы не можете ответить, или просто не хотите?","Вы не можете ответить, или просто не хотите ответить?"
"Все ненавидят наш дом, но любят их.","Все ненавидят наш дом, но любят их дом."
"Иван улыбается, и Миша знает почему.","Иван улыбается, и Миша знает, почему Иван улыбается."
"Лидия переедет в Тверь, а её сестра в Новосибирьск.","Лидия переедет в Тверь, а её сестра переедет в Новосибирьск."
"Она знает больше о своей стране, чем он.","Она знает больше о своей стране, чем он знает о своей стране."
"Они сейчас говорят на украинском языке, а не на русском.","Они сейчас говорят на украинском языке, а не на русском языке."
"Человек описыавет какой-то город, но нам не ясно, какой.","Человек описывает какой-то город, но нам не ясно, какой город."
"Я думал, что Саша будет петь эту песню, а на самом деле Маша будет _.","Я думал, что Саша будет петь эту песню, а на самом деле Маша будет петь эту песню."
"Он вдруг сообразил, что ведь он хотел сейчас идти в дом Федора Павловича, узнать, не произошло ли чего.","Он вдруг сообразил, что ведь он хотел сейчас идти в дом Федора Павловича, чтобы узнать, не произошло ли чего."
"Дмитрия же не застанет еще вернее, и ему предчувствовалось почему.","Дмитрия же не застанет еще вернее, и ему предчувствовалось почему не застанет."
"Да, я распоряжусь, — решила она и, возвращаясь к прежним мыслям, вспомнила, что что-то важное, душевное было не додумано еще, и она стала вспоминать что.","Да, я распоряжусь, — решила она и, возвращаясь к прежним мыслям, вспомнила, что что-то важное, душевное было не додумано еще, и она стала вспоминать что именно."
"Ты в клубе пил, пил, играл и потом поехал… к кому?","Ты в клубе пил, пил, играл и потом поехал домой… к кому?"
"Петя увидел белого зайца после того, как Вася увидел черного.","Петя увидел белого зайца после того, как Вася увидел черного зайца."
"Плюньте и уйдите, вот почему.","Плюньте и уйдите, вот почему."
"Они попросили меня пойти на озеро, но у меня нет времени.","Они попросили меня пойти на озеро, но у меня нет времени пойти на озеро."
"В Москву я хочу поехать, а в Петербург нет _.","В Москву я хочу поехать, а в Петербург нет, я не хочу поехать."
"Я в первый раз там попробовал сало, а ты зразы.","Я в первый раз там попробовал сало, а ты попробовал зразы."
"Она встала и ушла, а её парень не знал, почему.","Она встала и ушла, а её парень не знал, почему она ушла."
"Офицеры носят фуражку, а пехотинцы простые пилотки.","Офицеры носят фуражку, а пехотинцы носят простые пилотки."
"Cледовательно, бросая камень, мальчик не увеличивал его кинетическую энергию, a уменьшил.","Следовательно, бросая камень, мальчик не увеличивал его кинетическую энергию, а уменьшил его кинетическую энергию."
"Я в первый раз там попробовал сало, и ты тоже.","Я в первый раз там попробовал сало, и ты тоже попробовал сало."
"Я люблю пиво, а ты вино.","Я люблю пиво, а ты любишь вино."
"Я подготовлю материалы на понедельник, а ты на вторник.","Я подготовлю материалы на понедельник, а ты подготовишь материалы на вторник."
"Я сделал один бутерброд утром, и потом ещё один вечером.","Я сделал один бутерброд утром, и потом сделал ещё один вечером."
"Моя подруга всегда принимает душ вечером, а я утром.","Моя подруга всегда принимает душ вечером, а я принимаю душ утром."
"Никогда не хочу пользоваться духами, потому что дорого.","Никогда не хочу пользоваться духами, потому что это дорого."
Конечно познакомил _.,Конечно познакомил его.
"Петя перестал выходить покурать по утрам, а Вова по вечерам.","Петя перестал выходить покурать по утрам, а Вова перестал выходить покурать по вечерам."
"Я всем буду помагать, даже Пете буду.","Я всем буду помагать, даже Пете буду помагать."
"Я приправлю суп паприкой, а ты чёрным перцем.","Я приправлю суп паприкой, а ты приправишь суп чёрным перцем."
"Юрий живёт в Ярославле, а Дима в Москве.","Юрий живёт в Ярославле, а Дима живёт в Москве."
"Сегодня пойдём в бар, но мне ещё не сказали когда.","Сегодня пойдём в бар, но мне ещё не сказали, когда пойдём в бар."
"Там знали, что Крымов невиновен, a посадили.","Там знали, что Крымов невиновен, а посадили Крымова."
"В зоопарке я люблю смотреть слонов, и мои сёстры тоже.","В зоопарке я люблю смотреть слонов, и мои сёстры тоже любят смотреть слонов."
"Я чаще пью виски, чем он водку.","Я чаще пью виски, чем он пьет водку."
"Митя пил чай, а Надя кофе.","Митя пил чай, а Надя пила кофе."
"Моя мама в зоопарке всегда любит смотреть выдр, а мой папа пингвинов.","Моя мама в зоопарке всегда любит смотреть выдр, а мой папа любит смотреть пингвинов."
"Я видел машину, которую купил Петя, а Вася нет _.","Я видел машину, которую купил Петя, а Вася нет машины."
"Мы купили ту книгу по математике после того, как он купил эту.","Мы купили ту книгу по математике после того, как он купил эту книгу по математике."
"Как он убит, чем и как?","Как он убит, чем убит и как убит?"
"Моя мать работает не только днём, но и также вечером.","Моя мать работает не только днём, но и также вечером."
"Я не хотел, но вчера мы ходили в кино.","Я не хотел ходить, но вчера мы ходили в кино."
"Дети с кем-то дрались, но мне не важно с кем.","Дети с кем-то дрались, но мне не важно, с кем дрались дети."
"Я не умею танцевать, а мой брат плавать.","Я не умею танцевать, а мой брат не умеет плавать."
"Лишь бы он вернул мою книгу сегодня, мне всё равно во сколько.","Лишь бы он вернул мою книгу сегодня, мне всё равно во сколько он вернёт книгу."
"Мои родители живут в Новгороде, и сестра тоже.","Мои родители живут в Новгороде, и моя сестра тоже живет в Новгороде."
"Каждый день утром он ест хлопья, но вечером стейк.","Каждый день утром он ест хлопья, но вечером он ест стейк."
"Они пришли ко мне не в среду, а в четверг.","Они пришли ко мне не в среду, а в четверг."
"Kирилл не позвал Любу в кино, и Bася тоже _.","Кирилл не позвал Любу в кино, и Вася тоже не позвал Любу в кино."
"Котята забавляются маленькими игрушками, а щенята большими.","Котята забавляются маленькими игрушками, а щенята забавляются большими игрушками."
"Иван что-то купил, но я не помню, чтo.","Иван что-то купил, но я не помню, что Иван купил."
"У него день рождения в июне, а у неё в октябре.","У него день рождения в июне, а у неё день рождения в октябре."
"Он хорошо понимает математику, и биологию.","Он хорошо понимает математику, и хорошо понимает биологию."
"Мы учимся языкам, а все наши друзья бизнесу.","Мы учимся языкам, а все наши друзья учатся бизнесу."
"Я хочу поехать за границу, но не знаю куда.","Я хочу поехать за границу, но не знаю, куда поехать."
"Рубашка мне слишком велика, а брюки малы.","Рубашка мне слишком велика, а брюки слишком малы."
"Лучше потратить целый день, чем целую неделю.","Лучше потратить целый день, чем потратить целую неделю."
Много?,Много чего?
"Убил Смердяков, но как?","Убил Смердяков, но как убил Смердяков?"
"Ваня сказал, что Вика поедет в Петербург, и я думаю, что Маша тоже _.","Ваня сказал, что Вика поедет в Петербург, и я думаю, что Маша тоже поедет в Петербург."
"Мы поедем в парк на машине, а они на велосипеде.","Мы поедем в парк на машине, а они поедут в парк на велосипеде."
"Вера и Лена читают газету, а Борис книгу.","Вера и Лена читают газету, а Борис читает книгу."
"Завтра я принесу лёд, а ты пиво.","Завтра я принесу лёд, а ты принесёшь пиво."
"Я не готовлю так хорошо, как ты.","Я не готовлю так хорошо, как ты готовишь."
"Она умерла в 1975, а её муж годом позже, в 1976.","Она умерла в 1975, а её муж умер годом позже, в 1976."
"Володя сказал, что купит зеленую лампу.","Володя сказал, что купит зеленую лампу."
"Она считает его великолепным композитором, и он её.","Она считает его великолепным композитором, и он считает её великолепной композиторкой."
"Я в первый раз там попробовал сало, а также зразы.","Я в первый раз там попробовал сало, а также попробовал зразы."
"Я не умею готовить так хорошо, как ты.","Я не умею готовить так хорошо, как ты умеешь готовить."
Только Петя будет.,Только Петя будет.
"Ольга хорошо говорит по-немецки, и Катя тоже.","Ольга хорошо говорит по-немецки, и Катя тоже хорошо говорит по-немецки."
"В пиццу всегда добавляю лук, а подруга перец.","В пиццу всегда добавляю лук, а подруга добавляет перец."
"Да за что же, за что?","Да за что же, за что ты это сделал?"
"Он хорошо готовить суп с мясом, а она без мяса.","Он хорошо готовит суп с мясом, а она хорошо готовит суп без мяса."
"Я всегда нерничаю, а мой отец никогда.","Я всегда нервничаю, а мой отец никогда не нервничает."
"Я больше пью виски, чем он водку.","Я больше пью виски, чем он пьет водку."
"Хотя мы хотели нарушить закон, мы не посмели.","Хотя мы хотели нарушить закон, мы не посмели нарушить закон."
"Он всегда заказывает холодное блюдо, а она горячее.","Он всегда заказывает холодное блюдо, а она заказывает горячее блюдо."
"Жуков вёл свою аримию на Берлин с севера, а Конев с юга.","Жуков вёл свою армию на Берлин с севера, а Конев вёл свою армию на Берлин с юга."
"Я думал, что никто не знает эту песню, а на самом деле Маша спела _.","Я думал, что никто не знает эту песню, а на самом деле Маша спела её."
"Я читал историю про эльфов, а ты про гномов.","Я читал историю про эльфов, а ты читал историю про гномов."
"Подруга всегда реккомедует мне новую музыку, но я ещё слушаю старую.","Подруга всегда рекомендует мне новую музыку, но я ещё слушаю старую музыку."
"Каждый день утром он ест хлопья, а также вечером.","Каждый день утром он ест хлопья, а также вечером он ест хлопья."
"Так ли, для этого ли?","Так ли это, для этого ли это?"
"Он начинает действовать открыто... подчеркивая, что выступает...","Он начинает действовать открыто, подчеркивая, что выступает открыто."
Я должен Мише позвонить или ты _?,Я должен Мише позвонить или ты должен Мише позвонить?
"Митя где-то будет праздновать день рождения, но не знаю где.","Митя где-то будет праздновать день рождения, но я не знаю, где он будет праздновать день рождения."
"Я умею управлять самолётом, но не вертолётом.","Я умею управлять самолётом, но не умею управлять вертолётом."
"Ольга уехала из своей страны в молодом возрасте, и Катя тоже.","Ольга уехала из своей страны в молодом возрасте, и Катя тоже уехала из своей страны в молодом возрасте."
"Моя девушка хочет в кино всегда, а я никогда.","Моя девушка хочет в кино всегда, а я никогда не хочу в кино."
"Его убили, но не знаю почему.","Его убили, но я не знаю, почему его убили."
Чем?,Чем ты занимаешься?
"Я не ем столько, как он.","Я не ем столько, сколько ест он."
"Она убила его, но чем, не знаем.","Она убила его, но чем убила, не знаем."
"В прошлом году мы выращивали только картошку, но в этом году и картошку и огурцы.","В прошлом году мы выращивали только картошку, но в этом году выращиваем и картошку, и огурцы."
"Мы очень хотим путешествовать по Украине, но сейчас не можем.","Мы очень хотим путешествовать по Украине, но сейчас не можем путешествовать."
"Павель играет на скрипке, Валерий на виолинчели и Петр на рояле.","Павель играет на скрипке, Валерий играет на виолинчели и Петр играет на рояле."
"Дина купила своей дочери школьные учебники, а Паша не купил.","Дина купила своей дочери школьные учебники, а Паша не купил школьные учебники."
"Они смеются, но непонятно над кем.","Они смеются, но непонятно, над кем они смеются."
Черт ее знает из чего.,"Черт ее знает, из чего это сделано."
"Марина увидела что-то странное, но я не знаю что.","Марина увидела что-то странное, но я не знаю что она увидела."
"Моя мать хочет новый компьютер, но ещё не знает, какого бренда.","Моя мать хочет новый компьютер, но ещё не знает, какого бренда компьютера."
Почему?,Почему что?
"Она попросила Мишу остаться, и Вася тоже.","Она попросила Мишу остаться, и Вася тоже остался."
"Фёдор часто знакомится с новыми людьми, а Лена редко.","Фёдор часто знакомится с новыми людьми, а Лена редко знакомится с новыми людьми."
"В детстве я ел много мороженого, но сейчас в зрелости мало.","В детстве я ел много мороженого, но сейчас в зрелости ем мало мороженого."
"Я не знаю, для чего.","Я не знаю, для чего это нужно."
"Нет, не для этого.","Нет, не для этого."
"Он сказал, что Катя будет читать эту лекцию, а на самом дело Cережа будет.","Он сказал, что Катя будет читать эту лекцию, а на самом дело Сережа будет читать эту лекцию."
"Я хотел более красивую шапку, _ не __ такую __.","Я хотел более красивую шапку, а не такую ужасную."
А они нападают на Анну. За что?,А они нападают на Анну. За что они нападают на Анну?
"Незнакомый вручил мне подарок, но не ясно почему.","Незнакомый вручил мне подарок, но не ясно, почему он вручил мне подарок."
"Он видел, что в душе ее совершалось что-то прекрасное, но что?","Он видел, что в душе ее совершалось что-то прекрасное, но что именно совершалось?"
"Я собираюсь купить машину, а ты продать.","Я собираюсь купить машину, а ты собираешься продать машину."
"Мне надо убрать гостиную сегодня, а тебе завтра.","Мне надо убрать гостиную сегодня, а тебе надо убрать гостиную завтра."
"Я не знаю что, но что-то Марина увидела.","Я не знаю что, но что-то Марина увидела."
"Отец не ест зелёный лук, только красный.","Отец не ест зелёный лук, только ест красный."
"Они сейчас говорят на украинском языке, а не русском.","Они сейчас говорят на украинском языке, а не на русском языке."
"Мы пришли сюда, потому что мы хотели.","Мы пришли сюда, потому что мы хотели прийти сюда."
"Он вдруг бросился и больно укусил мне палец, не знаю за что.","Он вдруг бросился и больно укусил мне палец, не знаю за что."
"Я задал ему три вопроса, и тоже тебе.","Я задал ему три вопроса, и три вопроса тоже тебе."
"Иван пишет литературу, а Коля музыку.","Иван пишет литературу, а Коля пишет музыку."
"Вчера я не познакомил Машу с Сашей, но думаю, что завтра познакомлю.","Вчера я не познакомил Машу с Сашей, но думаю, что завтра познакомлю Машу с Сашей."
Когда?,Когда что?
"Кити не только уверила его, что она его любит, но даже, отвечая на его вопрос, за что она любит его, объяснила ему, за что.","Кити не только уверила его, что она его любит, но даже, отвечая на его вопрос, за что она любит его, объяснила ему, за что она его любит."
"В Украине сейчас борются с врагами, а в Америке друг с другом.","В Украине сейчас борются с врагами, а в Америке борются друг с другом."
"Довольно, не хочу!","Довольно, не хочу!"
"Максиму нравится шоколад, а Вере конфеты.","Максиму нравится шоколад, а Вере нравятся конфеты."
"Они могут бегать быстрее, чем я.","Они могут бегать быстрее, чем я могу бегать."
"На рождество моя сестра готовит пирожки с картошой, а я с мясом.","На рождество моя сестра готовит пирожки с картошой, а я готовлю пирожки с мясом."
"Я страдаю, ты страдаешь. За что?","Я страдаю, ты страдаешь. За что мы страдаем?"
"Мне нравится эта песня, но не знаю почему.","Мне нравится эта песня, но я не знаю, почему она мне нравится."
"Я предпочитаю есть зразы с говядиной, а ты с свининой.","Я предпочитаю есть зразы с говядиной, а ты предпочитаешь есть зразы с свининой."
"Мы хотим пойти на экскурсию в музей, а вы в театр.","Мы хотим пойти на экскурсию в музей, а вы хотите пойти на экскурсию в театр."
"Я задал ему три вопроса, а ей только два.","Я задал ему три вопроса, а ей задал только два вопроса."
"Максиму нравится чай, а Вере кофе.","Максиму нравится чай, а Вере нравится кофе."
"Ваня сказала, что Вика тебя позвала гулять, а я думал, что меня _.","Ваня сказала, что Вика тебя позвала гулять, а я думал, что меня позвала гулять."
