"Я хорошо понимаю математику, но не биологию.","Я хорошо понимаю математику, но я не хорошо понимаю биологию."
"Что-то купили на рынке, но ещё не объяснили что.","Что-то купили на рынке, но ещё не объяснили что купили на рынке."
"У него день рождения в июне, а у неё в октябре.","У него день рождения в июне, а у неё день рождения в октябре."
"В детстве я ел много мороженого, но сейчас в зрелости мало.","В детстве я ел много мороженого, но сейчас в зрелости я ем мало мороженого."
"Довольно, не хочу!","Довольно, не хочу больше играть!"
"Я не знаю что, но что-то Марина увидела.","Я не знаю что видела Марина, но что-то Марина увидела."
"Каждый день утром он ест хлопья, но вечером стейк.","Каждый день утром он ест хлопья, но каждый день вечером он ест стейк."
"Бизнесмен получил два ранения, а его водитель три ранения.","Бизнесмен получил два ранения, а его водитель получил три ранения."
Тогда какое?!,Тогда какое мороженое хочешь!?
"В прошлом году мы выращивали только картошку, но в этом году и картошку и огурцы.","В прошлом году мы выращивали только картошку, но в этом году мы выращиваем и картошку и огурцы."
"Андрей считает, что никто не будет делать это домашнее задание, но я буду.","Андрей считает, что никто не будет делать это домашнее задание, но я буду делать это домашнее задание."
"Он починил мою машину, но я не понимаю как.","Он починил мою машину, но я не понимаю как он починил мою машину."
Я в этом году.,Я буду читать курс по типологии в этом году.
"Моя девушка хочет в кино всегда, а я никогда.","Моя девушка хочет в кино всегда, а я никогда не хочу в кино."
"Я всем буду помагать, даже Пете буду.","Я всем буду помагать, даже Пете я буду помагать."
"Ваня сказал, что Вика поедет в Петербург, и я думаю, что Маша тоже _.","Ваня сказал, что Вика поедет в Петербург, и я думаю, что Маша тоже поедет в Санкт-Петербург."
"Они сейчас говорят по-украински, а не по-русски.","Они сейчас говорят по-украински, а они сейчас не говорят по-русски."
"Митя пил чай, а Надя кофе.","Митя пил чай, а Надя пила кофе."
"Он вдруг сообразил, что ведь он хотел сейчас идти в дом Федора Павловича, узнать, не произошло ли чего.","Он вдруг сообразил, что ведь он хотел сейчас идти в дом Федора Павловича, узнать, не произошло ли чего у Федора Павловича."
"Так ли, для этого ли?","Так ли, для этого ли сошлись?"
"Да за что же, за что?","Да за что же взяли меня и высекли, за что взяли меня и высекли?"
"В понедельник мы читали первую часть романа, и во вторник вторую.","В понедельник мы читали первую часть романа, и во вторник мы читали вторую часть романа."
"Я в первый раз там попробовал сало, а также зразы.","Я в первый раз там попробовал сало, а также я в первый раз там попробовал зразы."
"Убил Смердяков, но как?","Убил Смердяков, но как убил Смердяков?"
Я должен Мише позвонить или ты _?,Я должен Мише позвонить или ты должен Мише позвонить?
"Я ненавижу Марка, и ты тоже.","Я ненавижу Марка, и ты тоже ненавидишь Марка."
От кого же?,"От кого же я знал, что он повесился?"
"Я не умею танцевать, а мой брат плавать.","Я не умею танцевать, а мой брат не умеет плавать."
"Иван пишет литературу, а Коля музыку.","Иван пишет литературу, а Коля пишет музыку."
Много?,Много пьют немцы пиво?
"Там знали, что Крымов невиновен, a посадили.","Там знали, что Крымов невиновен, a посадили его."
"Офицеры носят фуражку, а пехотинцы простые пилотки.","Офицеры носят фуражку, а пехотинцы носят простые пилотки."
"Я уверен, что он ненавидит _.","Я уверен, что он ненавидит лингвистику."
"Я сначала приправлю суп паприкой, а потом чёрным перцем.","Я сначала приправлю суп паприкой, а потом ___ чёрным перцем."
"Он всегда заказывает холодное блюдо, а она горячее.","Он всегда заказывает холодное блюдо, а она всегда заказывает горячее блюдо."
"Мы пришли сюда, потому что мы хотели.","Мы пришли сюда, потому что мы хотели прийти сюда."
"Они сейчас говорят на украинском языке, а не на русском.","Они сейчас говорят на украинском языке, а они не говорят на русском языке."
А они нападают на Анну. За что?,А они нападают на Анну. За что они нападают на Анну?
"Мне вчера что-нибудь снилось, но не помню, что.","Мне вчера что-нибудь снилось, но не помню, что мне снилось."
"А чтоб истина скорей воссияла, вот зачем.","А чтоб истина скорей воссияла, вот зачем упразднять."
"Демократы голосуют за законопроект, а республиканцы против.","Демократы голосуют за законопроект, а республиканцы голосуют против законопроекта."
"Мы очень хотим путешествовать по Украине, но сейчас не можем.","Мы очень хотим путешествовать по Украине, но сейчас не можем путешествовать по Украине."
"Когда Петя пришел, я обрадовался, а Вася нет _.","Когда Петя пришел, я обрадовался, а Вася не обрадовался."
"Рубашка мне слишком велика, а брюки малы.","Рубашка мне слишком велика, а брюки мне слишком малы."
"Мальчиком я играл в баскетбол, а мой друг в бейсбол.","Мальчиком я играл в баскетбол, а мальчиком мой друг играл в бейсбол."
"Я умею управлять самолётом, но не вертолётом.","Я умею управлять самолётом, но я не умею управлять вертолётом."
"Kирилл не позвал Любу в кино, и Bася тоже _.","Kирилл не позвал Любу в кино, и Bася не позвал Любу в кино."
"Она убила его, но чем, не знаем.","Она убила его, но чем она убила его, не знаем."
"Я бросил кружку, а сестра тарелку.","Я бросил кружку, а сестра бросила тарелку."
"Я думал, что никто не знает эту песню, а на самом деле Маша спела _.","Я думал, что никто не знает эту песню, а на самом деле Маша спела эту песню."
"Он хорошо готовить суп с мясом, а она без мяса.","Он хорошо готовить суп с мясом, а она хорошо готовит суп без мяса."
"Я люблю пиво, а ты вино.","Я люблю пиво, а ты любишь вино."
"Его убили, но не знаю почему.","Его убили, но не знаю почему его убили."
"Каждый день утром он ест хлопья, а также вечером.","Каждый день утром он ест хлопья, а также каждый день он ест хлопья вечером."
"Я задал ему три вопроса, и тоже тебе.","Я задал ему три вопроса, и тоже я задал тебе три вопроса."
"Я не готовлю так хорошо, как ты.","Я не готовлю так хорошо, как ты готовишь."
"Лучше потратить целый день, чем целую неделю.","Лучше потратить целый день, чем потратить целую неделю."
"Cледовательно, бросая камень, мальчик не увеличивал его кинетическую энергию, a уменьшил.","Cледовательно, бросая камень, мальчик не увеличивал его кинетическую энергию, a уменьшил его кинетическую энергию."
"Георгий готовит макароны, а Лена песто.","Георгий готовит макароны, а Лена готовит песто."
"Мы хотим пойти на экскурсию в музей, а вы в театр.","Мы хотим пойти на экскурсию в музей, а вы хотите пойти на экскурсию в театр."
"Я думал, что Саша будет петь эту песню, а на самом деле Маша будет _.","Я думал, что Саша будет петь эту песню, а на самом деле Маша будет петь эту песню."
"Они пришли ко мне не в среду, а в четверг.","Они пришли ко мне не в среду, а они пришли ко мне в четверг."
"Дмитрия же не застанет еще вернее, и ему предчувствовалось почему.","Дмитрия же не застанет еще вернее, и ему предчувствовалось почему Дмитрия же не застанет еще вернее."
"Хорошие студенты всегда делают домашки, а плохие студенты никогда.","Хорошие студенты всегда делают домашки, а плохие студенты никогда не делают домашки."
"Я подготовлю материалы на понедельник, а ты на вторник.","Я подготовлю материалы на понедельник, а ты подготовишь материалы на вторник."
"Маша кому-то что-то подарила, но я не помню кому что.","Маша кому-то что-то подарила, но я не помню кому что Маша подарила."
"В зоопарке я люблю смотреть слонов, и мои сёстры тоже.","В зоопарке я люблю смотреть слонов, и мои сёстры тоже в зоопарке любят смотреть слонов."
"Ольга хорошо говорит по-немецки, и Катя тоже.","Ольга хорошо говорит по-немецки, и Катя тоже хорошо говорит по-немецки."
"Моя подруга всегда принимает душ вечером, а я утром.","Моя подруга всегда принимает душ вечером, а я всегда принимаю душ утром."
"Она знает больше о своей стране, чем он.","Она знает больше о своей стране, чем он знает о её стране."
"Я не умею готовить так хорошо, как ты.","Я не умею готовить так хорошо, как ты умеешь готовить."
"Иван улыбается, и Миша знает почему.","Иван улыбается, и Миша знает почему Иван улыбается."
Не знаю от кого.,"Не знаю от когоя знал, что он повесился."
"На рождество моя сестра готовит пирожки с картошой, а я с мясом.","На рождество моя сестра готовит пирожки с картошой, а на Рождество я готовлю пирожки с мясом."
"Фёдор часто знакомится с новыми людьми, а Лена редко.","Фёдор часто знакомится с новыми людьми, а Лена знакомится с новыми людьми редко."
"Я в первый раз там попробовал сало, и ты тоже.","Я в первый раз там попробовал сало, и ты тоже в первый раз там попробовал сало."
"Дина купила своей дочери школьные учебники, а Паша не купил.","Дина купила своей дочери школьные учебники, а Паша не купил своей дочери школьные учебники."
Отцу.,Отцу купили машину.
Когда?,Когда придет Вова?
Как?,Как убедиться же возможно?
"Кто-то что-то пел, но я не понимал, кто что.","Кто-то что-то пел, но я не понимал, кто что пел."
"Она меня не любит, и я её.","Она меня не любит, и я её не люблю."
"Петя хочет начать изучать французский язык, а Вася немецкий.","Петя хочет начать изучать французский язык, а Вася хочет начать изучать немецкий язык."
"Незнакомый вручил мне подарок, но не ясно почему.","Незнакомый вручил мне подарок, но не ясно почему незнакомый вручил мне подарок."
"Я хочу поехать за границу, но не знаю куда.","Я хочу поехать за границу, но не знаю куда хочу поехать."
"Она знает больше о своей стране, чем он.","Она знает больше о своей стране, чем он знает о своей стране."
"Иван что-то купил, но я не помню, чтo.","Иван что-то купил, но я не помню, что Иван купил."
"Кто-то съел все печенья, но я не знаю, кто.","Кто-то съел все печенья, но я не знаю, кто съел все печенья."
"Я говорю по-русски, но не очень хорошо.","Я говорю по-русски, но не очень хорошо говорю по-русски."
"Мы купили ту книгу по математике после того, как он купил эту.","Мы купили ту книгу по математике после того, как он купил эту книгу по математике."
"Павель играет на скрипке, Валерий на виолинчели и Петр на рояле.","Павель играет на скрипке, Валерий играет на виолинчели и Петр играет на рояле."
"Дети с кем-то дрались, но мне не важно с кем.","Дети с кем-то дрались, но мне не важно, с кем дрались дети."
"Сегодня пойдём в бар, но мне ещё не сказали когда.","Сегодня пойдём в бар, но мне ещё не сказали когда сегодня пойдём в бар."
"Преследовать и звать его он не захотел, он знал почему.","Преследовать и звать его он не захотел, он знал почему преследовать и звать его он не захотел."
"Он придумал музыку песни, а она текст.","Он придумал музыку песни, а она придумала текст."
"Я видел машину, которую купил Петя, а Вася нет _.","Я видел машину, которую купил Петя, а Вася не видел машину, которую купил Петя."
"Петя увидел белого зайца после того, как Вася увидел черного.","Петя увидел белого зайца после того, как Вася увидел черного зайца."
"Я собираюсь купить машину, а ты продать.","Я собираюсь купить машину, а ты собираешься продать машину."
"Я задал ему три вопроса, и ты тоже.","Я задал ему три вопроса, и ты тоже задал ему три вопроса."
"Юрий живёт в Ярославле, а Дима в Москве.","Юрий живёт в Ярославле, а Дима живёт в Москве."
"Она умерла в 1975, а её муж годом позже, в 1976.","Она умерла в 1975, а её муж умер годом позже, в 1976."
"Подруга всегда реккомедует мне новую музыку, но я ещё слушаю старую.","Подруга всегда реккомедует мне новую музыку, но я ещё слушаю старую музыку."
"Я читал историю про эльфов, а ты про гномов.","Я читал историю про эльфов, а ты читал историю про гномов."
"Они могут бегать быстрее, чем я.","Они могут бегать быстрее, чем я могу бегать."
"Ольга уехала из своей страны в молодом возрасте, и Катя тоже.","Ольга уехала из своей страны в молодом возрасте, и Катя тоже уехала из своей страны в молодом возрасте."
"Мои родители живут в Новгороде, и сестра тоже.","Мои родители живут в Новгороде, и сестра тоже живёт в Новгороде."
"Моя мать работает не только днём, но и также вечером.","Моя мать работает не только днём, но и также она работает вечером."
"Я хотел чай из Китая, а не из Индии.","Я хотел чай из Китая, а я не хотел чай из Индии."
"Я ненавижу Марка, и тебя тоже.","Я ненавижу Марка, и тебя тоже ненавижу."
"Мои друзья поедут туда на самолёте, а я на машине.","Мои друзья поедут туда на самолёте, а я поеду на машине."
"Я не хотел, но вчера мы ходили в кино.","Я не хотел ходить в кино, но вчера мы ходили в кино."
"Петя хочет начать изучать французский язык, а Вася пытается немецкий.","Петя хочет начать изучать французский язык, а Вася пытается начать изучать немецкий язык."
"Митя предложил Кате пойти в кино, а Катя Мите в музей.","Митя предложил Кате пойти в кино, а Катя предложила Мите пойти в музей."
Почему?,Почему не будете больше играть?
"Я больше пью виски, чем он водку.","Я больше пью виски, чем он пьёт водку."
"Человек описыавет какой-то город, но нам не ясно, какой.","Человек описыавет какой-то город, но нам не ясно, какой город человек описывает."
"Граница Финландии с Россией длинная, с Норвегией короткая, а со Швецией - средняя.","Граница Финландии с Россией длинная, граница Финландии с Норвегией короткая, а граница Финландии со Швецией - средняя."
"Мой брат думает, что лучше охотиться с луком, чем с винтовкой.","Мой брат думает, что лучше охотиться с луком, чем охотиться с винтовкой."
"Лидия переедет в Тверь, а её сестра в Новосибирьск.","Лидия переедет в Тверь, а её сестра переедет в Новосибирьск."
"Он вдруг бросился и больно укусил мне палец, не знаю за что.","Он вдруг бросился и больно укусил мне палец, не знаю за что он вдруг бросился и больно укусил мне палец."
"Вчера я не познакомил Машу с Сашей, но думаю, что завтра познакомлю.","Вчера я не познакомил Машу с Сашей, но я думаю, что завтра я познакомлю Машу с Сашей."
"Каждый год я перечитываю ""Влаcтелина колец"", а моя подруга ""Хоббита"".","Каждый год я перечитываю ""Влаcтелина колец"", а моя подруга каждый год перечитываю ""Хоббита""."
Почему?,Почему Иван прыгнул в колодец?
"Завтра я принесу лёд, а ты пиво.","Завтра я принесу лёд, а ты принесешь пиво."
"Я всегда нерничаю, а мой отец никогда.","Я всегда нерничаю, а мой отец не нервничает никогда."
"Лишь бы он вернул мою книгу сегодня, мне всё равно во сколько.","Лишь бы он вернул мою книгу сегодня, мне всё равно во сколько он вернет мою книгу сегодня."
"Я в первый раз там попробовал сало, а ты зразы.","Я в первый раз там попробовал сало, а ты в первый раз там попробовала зразы."
"Отец не ест зелёный лук, только красный.","Отец не ест зелёный лук, отец ест только красный лук."
"Я в первый раз там попробовал сало, а ты зразы.","Я в первый раз там попробовал сало, а ты в первый раз там попробовал зразы."
"Они попросили меня пойти на озеро, но у меня нет времени.","Они попросили меня пойти на озеро, но у меня нет времени пойти на озеро."
"Я не знаю, для чего.","Я не знаю, для чего берут в таких случаях что-нибудь в руку."
"У него день рождения в июне, и у неё тоже.","У него день рождения в июне, и у неё тоже день рождения в июне."
Черт ее знает из чего.,Черт ее знает из чего тряпка была.
"Каждый пригласил кого-то танцевать, но я не помню, кто кого.","Каждый пригласил кого-то танцевать, но я не помню, кто кого пригласил."
"В пиццу всегда добавляю лук, а подруга перец.","В пиццу всегда добавляю лук, а подруга всегда добавляет перец."
"Вера и Лена читают газету, а Борис книгу.","Вера и Лена читают газету, а Борис читает книгу."
"В Москву я хочу поехать, а в Петербург нет _.","В Москву я хочу поехать, а в Петерберг я не хочу поехать."
"Петя не может получать $3000, а его заместитель $4000.","Петя не может получать $3000, а его заместитель не может получать $4000."
"Я не могу видеть без очков, а моя подруга может.","Я не могу видеть без очков, а моя подруга может видеть без очков."
"Они сейчас говорят на украинском языке, а не русском.","Они сейчас говорят на украинском языке, а они не говорят на русском языке."
"Она попросила Мишу остаться, и Вася тоже.","Она попросила Мишу остаться, и Вася тоже попросил Мишу остаться."
"Петя в Москву приехал, а Вася в Петербург нет _.","Петя в Москву приехал, а Вася в петербург не приехал."
"Вы не можете ответить, или просто не хотите?","Вы не можете ответить, или просто не хотите ответить?"
"И Ольгу встретили в магазине, и Kатю _.","И Ольгу встретили в магазине, и Kатю встретили в магазине."
"Она считает его великолепным композитором, и он её.","Она считает его великолепным композитором, и он считает её великолепным композитором."
"В Украине сейчас борются с врагами, а в Америке друг с другом.","В Украине сейчас борются с врагами, а в Америке борются друг с другом."
"Он хорошо понимает математику, и биологию.","Он хорошо понимает математику, и он хорошо понимает биологию."
"Митя где-то будет праздновать день рождения, но не знаю где.","Митя где-то будет праздновать день рождения, но не знаю где Митя будет праздновать день рождения."
"Я в первый раз там попробовал сало, и ты тоже.","Я в первый раз там попробовал сало, и ты тоже в первый раз там попробовала сало."
"Он сомневается, что когда-нибудь выиграет в лотерею, но всё таки надеется.","Он сомневается, что когда-нибудь выиграет в лотерею, но всё таки надеется, что когда-нибудь выиграет в лотерею."
"Он видел, что в душе ее совершалось что-то прекрасное, но что?","Он видел, что в душе ее совершалось что-то прекрасное, но что совершалось?"
"Жуков вёл свою аримию на Берлин с севера, а Конев с юга.","Жуков вёл свою аримию на Берлин с севера, а Конев вёл свою армию на Берлин с юга."
"Максиму нравится чай, а Вере кофе.","Максиму нравится чай, а Вере нравится кофе."
"Они купили надувной замок, но не ясно кому.","Они купили надувной замок, но не ясно кому они купили надувной замок."
"Он начинает действовать открыто... подчеркивая, что выступает...","Он начинает действовать открыто... подчеркивая, что он выступает..."
"Каждый день утром он ест хлопья, и вечером тоже.","Каждый день утром он ест хлопья, и каждый день вечером он ест хлопья тоже."
"Я сделал один бутерброд утром, и потом ещё один вечером.","Я сделал один бутерброд утром, и потом ещё один бутерброд сделал я вечером."
"Саша прочитал мою статью, а Дима прочитал твою.","Саша прочитал мою статью, а Дима прочитал твою статью."
"Теперь уж Алеша был почти уверен в этом, сам не зная еще почему.","Теперь уж Алеша был почти уверен в этом, сам не зная еще почему был почти уверен в этом."
"Володя сказал, что купит зеленую лампу.","Володя сказал, что он купит зеленую лампу."
"Мы поедем в парк на машине, а они на велосипеде.","Мы поедем в парк на машине, а они поедут в парк на велосипеде."
"Все ненавидят наш дом, но любят их.","Все ненавидят наш дом, но все любят их дом."
"Петя перестал выходить покурать по утрам, а Вова по вечерам.","Петя перестал выходить покурать по утрам, а Вова перестала выходить покурить по вечерам."
"Плюньте и уйдите, вот почему.","Плюньте и уйдите, вот почему не будем больше играть."
"Я ездила туда не только в те дни, когда танцевала.","Я ездила туда не только в те дни, когда я танцевала."
"Я чаще пью виски, чем он водку.","Я чаще пью виски, чем он пьёт водку."
"Я задал ему три вопроса, и ты тоже.","Я задал ему три вопроса, и ты тоже задала ему три вопроса."
"Как он убит, чем и как?","Как он убит, чем он убит и как он убит?"
"Марина увидела что-то странное, но я не знаю что.","Марина увидела что-то странное, но я не знаю что Марина увидела."
"Кити не только уверила его, что она его любит, но даже, отвечая на его вопрос, за что она любит его, объяснила ему, за что.","Кити не только уверила его, что она его любит, но даже, отвечая на его вопрос, за что она любит его, объяснила ему, за что она его любит."
"Я хотел более красивую шапку, _ не __ такую __.","Я хотел более красивую шапку, я не хотел такую шапку."
"В прошлом году мы выращивали только картошку, но в этом году и картошку и огурцы.","В прошлом году мы выращивали только картошку, но в этом году мы выращивали и картошку и огурцы."
Только Петя будет.,Только Петя будет ехать в Москву.
"Я предпочитаю слушать его старые песни, а не новые.","Я предпочитаю слушать его старые песни, а я не предпочитаю слушать его новые песни."
"Верю, да не знаю во что.","Верю, да не знаю во что верю."
"Ваня сказала, что Вика тебя позвала гулять, а я думал, что меня _.","Ваня сказала, что Вика тебя позвала гулять, а я думал, что Вика меня позвала гулять."
