sentence,label
"Мой брат думает, что лучше охотиться с луком, чем с винтовкой.","Мой брат думает, что лучше охотиться с луком, чем с винтовкой."
"Маша кому-то что-то подарила, но я не помню кому что.","Маша кому-то что-то подарила, но я не помню кому ___ что."
"Она меня не любит, и я её.","Она меня не любит, и я ___ её."
"Лучше потратить целый день, чем целую неделю.","Лучше потратить целый день, чем целую неделю."
"Его убили, но не знаю почему.","Его убили, но не знаю, почему ___."
"Я в первый раз там попробовал сало, а также зразы.","Я в первый раз там попробовал сало, а также зразы."
"Моя мама в зоопарке всегда любит смотреть выдр, а мой папа пингвинов.","Моя мама в зоопарке всегда любит смотреть выдр, а мой папа ___ пингвинов."
"Она попросила Мишу остаться, и Вася тоже.","Она попросила Мишу остаться, и Вася ___ тоже."
Почему?,Почему?
"Я бросил кружку, а сестра тарелку.","Я бросил кружку, а сестра ___ тарелку."
"Кити не только уверила его, что она его любит, но даже, отвечая на его вопрос, за что она любит его, объяснила ему, за что.","Кити не только уверила его, что она его любит, но даже, отвечая на его вопрос, за что она любит его, объяснила ему, за что ___."
"Подруга всегда реккомедует мне новую музыку, но я ещё слушаю старую.","Подруга всегда рекомендует мне новую музыку, но я ещё слушаю старую."
"Я думал, что Саша будет петь эту песню, а на самом деле Маша будет _.","Я думал, что Саша будет петь эту песню, а на самом деле Маша будет ___."
"Он сомневается, что когда-нибудь выиграет в лотерею, но всё таки надеется.","Он сомневается, что когда-нибудь выиграет в лотерею, но всё таки надеется."
"Я задал ему три вопроса, и ты тоже.","Я задал ему три вопроса, и ты ___ тоже."
Не знаю от кого.,Не знаю от кого.
"Он хорошо понимает математику, и биологию.","Он хорошо понимает математику, и ___ биологию."
"У него день рождения в июне, а у неё в октябре.","У него день рождения в июне, а у неё ___ в октябре."
"Рубашка мне слишком велика, а брюки малы.","Рубашка мне слишком велика, а брюки ___ малы."
"Я страдаю, ты страдаешь. За что?","Я страдаю, ты страдаешь. За что ___?"
"Я чаще пью виски, чем он водку.","Я чаще пью виски, чем он ___ водку."
"На рождество моя сестра готовит пирожки с картошой, а я с мясом.","На рождество моя сестра готовит пирожки с картошой, а я ___ с мясом."
"Петя хочет начать изучать французский язык, а Вася пытается немецкий.","Петя хочет начать изучать французский язык, а Вася ___ немецкий."
"Убил Смердяков, но как?","Убил Смердяков, но как ___?"
"Ваня сказала, что Вика тебя позвала гулять, а я думал, что меня _.","Ваня сказала, что Вика тебя позвала гулять, а я думал, что меня ___."
"Каждый день утром он ест хлопья, и вечером тоже.","Каждый день утром он ест хлопья, и вечером ___ тоже."
"Я не готовлю так хорошо, как ты.","Я не готовлю так хорошо, как ты."
"Вы не можете ответить, или просто не хотите?","Вы не можете ответить, или просто не хотите ___?"
"Петя увидел белого зайца после того, как Вася увидел черного.","Петя увидел белого зайца после того, как Вася увидел черного."
"Он сказал, что Катя будет читать эту лекцию, а на самом дело Cережа будет.","Он сказал, что Катя будет читать эту лекцию, а на самом дело Cережа будет ___."
"Они могут бегать быстрее, чем я.","Они могут бегать быстрее, чем я."
"Моя девушка хочет в кино всегда, а я никогда.","Моя девушка хочет в кино всегда, а я ___ никогда."
"Вера и Лена читают газету, а Борис книгу.","Вера и Лена читают газету, а Борис ___ книгу."
"Я задал ему три вопроса, а ей только два.","Я задал ему три вопроса, а ей ___ только два."
"Дети с кем-то дрались, но мне не важно с кем.","Дети с кем-то дрались, но мне не важно с ___."
"Мы поедем в парк на машине, а они на велосипеде.","Мы поедем в парк на машине, а они ___ на велосипеде."
"Когда Петя пришел, я обрадовался, а Вася нет _.","Когда Петя пришел, я обрадовался, а Вася нет ___."
"Так ли, для этого ли?","Так ли, для этого ли?"
"Фёдор часто знакомится с новыми людьми, а Лена редко.","Фёдор часто знакомится с новыми людьми, а Лена редко ___."
"В зоопарке я люблю смотреть слонов, и мои сёстры тоже.","В зоопарке я люблю смотреть слонов, и мои сёстры ___ тоже."
Отцу.,Отцу.
"Они купили надувной замок, но не ясно кому.","Они купили надувной замок, но не ясно ___ кому."
"Мне надо убрать гостиную сегодня, а тебе завтра.","Мне надо убрать гостиную сегодня, а тебе ___ завтра."
"Я приправлю суп паприкой, а ты чёрным перцем.","Я приправлю суп паприкой, а ты ___ чёрным перцем."
"Я видел машину, которую купил Петя, а Вася нет _.","Я видел машину, которую купил Петя, а Вася ___ нет."
"И Ольгу встретили в магазине, и Kатю _.","И Ольгу встретили в магазине, и Kатю ___."
Много?,Много?
"Андрей считает, что никто не будет делать это домашнее задание, но я буду.","Андрей считает, что никто не будет делать это домашнее задание, но я буду ___."
"В прошлом году мы выращивали только картошку, но в этом году и картошку и огурцы.","В прошлом году мы выращивали только картошку, но в этом году ___ и огурцы."
"Демократы голосуют за законопроект, а республиканцы против.","Демократы голосуют за законопроект, а республиканцы ___ против."
"Я предпочитаю слушать его старые песни, а не новые.","Я предпочитаю слушать его старые песни, а не новые."
"Они сейчас говорят на украинском языке, а не русском.","Они сейчас говорят на украинском языке, а не русском."
"Она знает больше о своей стране, чем он.","Она знает больше о своей стране, чем он ___."
"Моя мать работает не только днём, но и также вечером.","Моя мать работает не только днём, но и также вечером."
"Он вдруг бросился и больно укусил мне палец, не знаю за что.","Он вдруг бросился и больно укусил мне палец, не знаю за что."
"Он придумал музыку песни, а она текст.","Он придумал музыку песни, а она ___ текст."
"Я говорю по-русски, но не очень хорошо.","Я говорю по-русски, но не очень хорошо."
"Мальчиком я играл в баскетбол, а мой друг в бейсбол.","Мальчиком я играл в баскетбол, а мой друг ___ в бейсбол."
"Володя сказал, что купит зеленую лампу.","Володя сказал, что купит зеленую лампу."
"Я не знаю, для чего.","Я не знаю, для чего."
"Митя где-то будет праздновать день рождения, но не знаю где.","Митя где-то будет праздновать день рождения, но не знаю ___ где."
"Каждый день утром он ест хлопья, а также вечером.","Каждый день утром он ест хлопья, а также ___ вечером."
"Мои родители живут в Новгороде, и сестра тоже.","Мои родители живут в Новгороде, и сестра ___ тоже."
"Я в первый раз там попробовал сало, и ты тоже.","Я в первый раз там попробовал сало, и ты ___ тоже."
"Митя пил чай, а Надя кофе.","Митя пил чай, а Надя ___ кофе."
"В пиццу всегда добавляю лук, а подруга перец.","В пиццу всегда добавляю лук, а подруга ___ перец."
"Я всем буду помагать, даже Пете буду.","Я всем буду помагать, даже Пете ___ буду."
"Я не умею готовить так хорошо, как ты.","Я не умею готовить так хорошо, как ты."
"Иван что-то купил, но я не помню, чтo.","Иван что-то купил, но я не помню, чт___o."
"Максиму нравится чай, а Вере кофе.","Максиму нравится чай, а Вере ___ кофе."
"Kирилл не позвал Любу в кино, и Bася тоже _.","Кирилл не позвал Любу в кино, и Вася тоже ___."
Как?,Как?
Конечно познакомил _.,Конечно познакомил ___.
"Георгий готовит макароны, а Лена песто.","Георгий готовит макароны, а Лена ___ песто."
"Я не умею танцевать танго, но хочу.","Я не умею танцевать танго, но хочу ___."
"Петя хочет начать изучать французский язык, а Вася немецкий.","Петя хочет начать изучать французский язык, а Вася ___ немецкий."
"Теперь уж Алеша был почти уверен в этом, сам не зная еще почему.","Теперь уж Алеша был почти уверен в этом, сам не зная еще почему."
"Каждый год я перечитываю ""Влаcтелина колец"", а моя подруга ""Хоббита"".","Каждый год я перечитываю ""Влаcтелина колец"", а моя подруга ___ ""Хоббита""."
А они нападают на Анну. За что?,А они нападают на Анну. За что ___?
"Митя предложил Кате пойти в кино, а Катя Мите в музей.","Митя предложил Кате пойти в кино, а Катя ___ Мите в музей."
"Мне нравится эта песня, но не знаю почему.","Мне нравится эта песня, но не знаю почему."
"Петя не может получать $3000, а его заместитель $4000.","Петя не может получать $3000, а его заместитель ___ $4000."
"Ольга уехала из своей страны в молодом возрасте, и Катя тоже.","Ольга уехала из своей страны в молодом возрасте, и Катя ___ тоже."
"Я ненавижу Марка, и тебя тоже.","Я ненавижу Марка, и тебя тоже."
"Дмитрия же не застанет еще вернее, и ему предчувствовалось почему.","Дмитрия же не застанет еще вернее, и ему предчувствовалось почему."
"Он говорит с иностранным акцентом, но мы не знаем почему.","Он говорит с иностранным акцентом, но мы не знаем, почему."
Когда?,Когда?
"Они попросили меня пойти на озеро, но у меня нет времени.","Они попросили меня пойти на озеро, но у меня нет времени."
"Ваня сказал, что Вика поедет в Петербург, и я думаю, что Маша тоже _.","Ваня сказал, что Вика поедет в Петербург, и я думаю, что Маша тоже ___."
"Он починил мою машину, но я не понимаю как.","Он починил мою машину, но я не понимаю, как ___."
"Да, я распоряжусь, — решила она и, возвращаясь к прежним мыслям, вспомнила, что что-то важное, душевное было не додумано еще, и она стала вспоминать что.","Да, я распоряжусь, — решила она и, возвращаясь к прежним мыслям, вспомнила, что что-то важное, душевное было не додумано еще, и она стала вспоминать ___."
"Он хорошо готовить суп с мясом, а она без мяса.","Он хорошо готовить суп с мясом, а она ___ без мяса."
"В Москву я хочу поехать, а в Петербург нет _.","В Москву я хочу поехать, а в Петербург нет ___."
"Я не умею танцевать, а мой брат плавать.","Я не умею танцевать, а мой брат ___ плавать."
"Никогда не хочу пользоваться духами, потому что дорого.","Никогда не хочу пользоваться духами, потому что ___ дорого."
"Я всегда нерничаю, а мой отец никогда.","Я всегда нерничаю, а мой отец никогда ___."
"Я сделал один бутерброд утром, и потом ещё один вечером.","Я сделал один бутерброд утром, и потом ещё один вечером."
"В детстве я ел много мороженого, но сейчас в зрелости мало.","В детстве я ел много мороженого, но сейчас в зрелости ___ мало."
"Моя подруга всегда принимает душ вечером, а я утром.","Моя подруга всегда принимает душ вечером, а я ___ утром."
"Я предпочитаю есть зразы с говядиной, а ты с свининой.","Я предпочитаю есть зразы с говядиной, а ты ___ с свининой."
Тогда какое?!,Тогда какое?!
"Я ненавижу Марка, и ты тоже.","Я ненавижу Марка, и ты ___ тоже."
"Верю, да не знаю во что.","Верю, да не знаю во что."
От кого же?,От кого же?
"Дина купила своей дочери школьные учебники, а Паша не купил.","Дина купила своей дочери школьные учебники, а Паша не купил ___."
"Я люблю пиво, а ты вино.","Я люблю пиво, а ты ___ вино."
"Каждый день утром он ест хлопья, но вечером стейк.","Каждый день утром он ест хлопья, но вечером ___ стейк."
"Он вдруг сообразил, что ведь он хотел сейчас идти в дом Федора Павловича, узнать, не произошло ли чего.","Он вдруг сообразил, что ведь он хотел сейчас идти в дом Федора Павловича, узнать, не произошло ли чего."
"Я уверен, что он ненавидит _.","Я уверен, что он ненавидит ___."
Чем?,Чем?
"Лишь бы он вернул мою книгу сегодня, мне всё равно во сколько.","Лишь бы он вернул мою книгу сегодня, мне всё равно во сколько."
"Мы учимся языкам, а все наши друзья бизнесу.","Мы учимся языкам, а все наши друзья ___ бизнесу."
"Максиму нравится шоколад, а Вере конфеты.","Максиму нравится шоколад, а Вере ___ конфеты."
"Я хорошо понимаю математику, но не биологию.","Я хорошо понимаю математику, но не ___ биологию."
"Хотя мы хотели нарушить закон, мы не посмели.","Хотя мы хотели нарушить закон, мы не посмели."
"Он всегда заказывает холодное блюдо, а она горячее.","Он всегда заказывает холодное блюдо, а она ___ горячее."
"Мне вчера что-нибудь снилось, но не помню, что.","Мне вчера что-нибудь снилось, но не помню, ___."
"Она умерла в 1975, а её муж годом позже, в 1976.","Она умерла в 1975, а её муж ___ годом позже, в 1976."
"Вчера я не познакомил Машу с Сашей, но думаю, что завтра познакомлю.","Вчера я не познакомил Машу с Сашей, но думаю, что завтра познакомлю ___."
"Иван пишет литературу, а Коля музыку.","Иван пишет литературу, а Коля ___ музыку."
"А чтоб истина скорей воссияла, вот зачем.","А чтоб истина скорей воссияла, вот зачем."
"Юрий живёт в Ярославле, а Дима в Москве.","Юрий живёт в Ярославле, а Дима ___ в Москве."
"Иван улыбается, и Миша знает почему.","Иван улыбается, и Миша знает почему."
"Петя в Москву приехал, а Вася в Петербург нет _.","Петя в Москву приехал, а Вася в Петербург нет."
"Кто-то что-то пел, но я не понимал, кто что.","Кто-то что-то пел, но я не понимал, кто ___ что ___."
"Я не знаю что, но что-то Марина увидела.","Я не знаю что, но что-то Марина увидела."
Только Петя будет.,Только Петя будет.
"Cледовательно, бросая камень, мальчик не увеличивал его кинетическую энергию, a уменьшил.","Cледовательно, бросая камень, мальчик не увеличивал его кинетическую энергию, a ___ уменьшил."
"Они пришли ко мне не в среду, а в четверг.","Они пришли ко мне не в среду, а в четверг."
"Бизнесмен получил два ранения, а его водитель три ранения.","Бизнесмен получил два ранения, а его водитель ___ три."
"Хорошие студенты всегда делают домашки, а плохие студенты никогда.","Хорошие студенты всегда делают домашки, а плохие студенты никогда ___."
"Саша прочитал мою статью, а Дима прочитал твою.","Саша прочитал мою статью, а Дима ___ твою."
"Преследовать и звать его он не захотел, он знал почему.","Преследовать и звать его он не захотел, он знал почему."
"Я сначала приправлю суп паприкой, а потом чёрным перцем.","Я сначала приправлю суп паприкой, а потом ___ чёрным перцем."
"Они сейчас говорят на украинском языке, а не на русском.","Они сейчас говорят на украинском языке, а не на русском."
"Офицеры носят фуражку, а пехотинцы простые пилотки.","Офицеры носят фуражку, а пехотинцы ___ простые пилотки."
"Моя мать хочет новый компьютер, но ещё не знает, какого бренда.","Моя мать хочет новый компьютер, но ещё не знает, какого бренда."
"У него день рождения в июне, и у неё тоже.","У него день рождения в июне, и у неё ___ тоже."
"Я не хотел, но вчера мы ходили в кино.","Я не хотел, но вчера мы ходили в кино."
"Отец не ест зелёный лук, только красный.","Отец не ест зелёный лук, только красный."
"Я подготовлю материалы на понедельник, а ты на вторник.","Я подготовлю материалы на понедельник, а ты ___ на вторник."
Черт ее знает из чего.,Черт ее знает из чего.
"В Украине сейчас борются с врагами, а в Америке друг с другом.","В Украине сейчас борются с врагами, а в Америке ___ друг с другом."
"Я не могу видеть без очков, а моя подруга может.","Я не могу видеть без очков, а моя подруга ___ может."
"Она убила его, но чем, не знаем.","Она убила его, но чем, не знаем."
"Они сейчас говорят по-украински, а не по-русски.","Они сейчас говорят по-украински, а не по-русски."
"Мы хотим пойти на экскурсию в музей, а вы в театр.","Мы хотим пойти на экскурсию в музей, а вы ___ в театр."
"Нет, не для этого.","Нет, не для этого."
"Я собираюсь купить машину, а ты продать.","Я собираюсь купить машину, а ты ___ продать."
"Я хотел более красивую шапку, _ не __ такую __.","Я хотел более красивую шапку, а не такую."
"Ты в клубе пил, пил, играл и потом поехал… к кому?","Ты в клубе пил, пил, играл и потом поехал… к кому?"
"Кто-то съел все печенья, но я не знаю, кто.","Кто-то съел все печенья, но я не знаю, кто ___."
"Что-то купили на рынке, но ещё не объяснили что.","Что-то купили на рынке, но ещё не объяснили ___ что."
"Каждый год он разбивает стакан, и его мать тоже.","Каждый год он разбивает стакан, и его мать тоже ___."
"Он видел, что в душе ее совершалось что-то прекрасное, но что?","Он видел, что в душе ее совершалось что-то прекрасное, но что ___?"
"Все ненавидят наш дом, но любят их.","Все ненавидят наш дом, но любят ___ их."
"Он начинает действовать открыто... подчеркивая, что выступает...","Он начинает действовать открыто___ подчеркивая, что выступает___"
"Мы пришли сюда, потому что мы хотели.","Мы пришли сюда, потому что мы хотели."
